Local Authority Code,Period,Measure Type,Value
E06000053,2002,population,2170.0
E06000054,2002,population,438386.0
E06000055,2002,population,149589.0
E06000056,2002,population,236297.0
E06000057,2002,population,308499.0
E06000058,2002,population,348717.0
E06000059,2002,population,350487.0
E06000060,2002,population,478768.0
E07000008,2002,population,109543.0
E07000009,2002,population,74328.0
E07000010,2002,population,84676.0
E07000011,2002,population,158476.0
E07000012,2002,population,131893.0
E07000026,2002,population,93816.0
E07000027,2002,population,71340.0
E07000028,2002,population,101721.0
E07000029,2002,population,69095.0
E07000030,2002,population,50276.0
E07000031,2002,population,102433.0
E07000032,2002,population,117265.0
E07000033,2002,population,72527.0
E07000034,2002,population,99256.0
E07000035,2002,population,69392.0
E07000036,2002,population,110250.0
E07000037,2002,population,89323.0
E07000038,2002,population,96916.0
E07000039,2002,population,83480.0
E07000040,2002,population,126562.0
E07000041,2002,population,110636.0
E07000042,2002,population,70651.0
E07000043,2002,population,88477.0
E07000044,2002,population,82058.0
E07000045,2002,population,121810.0
E07000046,2002,population,59774.0
E07000047,2002,population,49972.0
E07000061,2002,population,90829.0
E07000062,2002,population,85873.0
E07000063,2002,population,92901.0
E07000064,2002,population,86174.0
E07000065,2002,population,141150.0
E07000066,2002,population,166743.0
E07000067,2002,population,134272.0
E07000068,2002,population,68779.0
E07000069,2002,population,86866.0
E07000070,2002,population,158686.0
E07000071,2002,population,156055.0
E07000072,2002,population,121482.0
E07000073,2002,population,78340.0
E07000074,2002,population,59750.0
E07000075,2002,population,79325.0
E07000076,2002,population,139318.0
E07000077,2002,population,69529.0
E07000078,2002,population,109775.0
E07000079,2002,population,80475.0
E07000080,2002,population,80125.0
E07000081,2002,population,110593.0
E07000082,2002,population,108229.0
E07000083,2002,population,77248.0
E07000084,2002,population,153641.0
E07000085,2002,population,109606.0
E07000086,2002,population,116430.0
E07000087,2002,population,108451.0
E07000088,2002,population,76831.0
E07000089,2002,population,84238.0
E07000090,2002,population,117173.0
E07000091,2002,population,170595.0
E07000092,2002,population,89877.0
E07000093,2002,population,110387.0
E07000094,2002,population,107844.0
E07000095,2002,population,87700.0
E07000096,2002,population,138118.0
E07000098,2002,population,94295.0
E07000099,2002,population,117959.0
E07000102,2002,population,83448.0
E07000103,2002,population,80185.0
E07000105,2002,population,104377.0
E07000106,2002,population,136483.0
E07000107,2002,population,86403.0
E07000108,2002,population,104883.0
E07000109,2002,population,95448.0
E07000110,2002,population,140338.0
E07000111,2002,population,109105.0
E07000112,2002,population,97205.0
E07000113,2002,population,124172.0
E07000114,2002,population,127675.0
E07000115,2002,population,108673.0
E07000116,2002,population,104206.0
E07000117,2002,population,88842.0
E07000118,2002,population,101142.0
E07000119,2002,population,73658.0
E07000120,2002,population,81233.0
E07000121,2002,population,133628.0
E07000122,2002,population,88830.0
E07000123,2002,population,131110.0
E07000124,2002,population,54659.0
E07000125,2002,population,65556.0
E07000126,2002,population,104522.0
E07000127,2002,population,108750.0
E07000128,2002,population,106444.0
E07000129,2002,population,91225.0
E07000130,2002,population,153431.0
E07000131,2002,population,78226.0
E07000132,2002,population,100482.0
E07000133,2002,population,48080.0
E07000134,2002,population,86842.0
E07000135,2002,population,55779.0
E07000136,2002,population,56391.0
E07000137,2002,population,132144.0
E07000138,2002,population,85669.0
E07000139,2002,population,96898.0
E07000140,2002,population,77918.0
E07000141,2002,population,125485.0
E07000142,2002,population,81075.0
E07000143,2002,population,122222.0
E07000144,2002,population,119391.0
E07000145,2002,population,91437.0
E07000146,2002,population,136831.0
E07000147,2002,population,98723.0
E07000148,2002,population,122376.0
E07000149,2002,population,112483.0
E07000150,2002,population,53427.0
E07000151,2002,population,73330.0
E07000152,2002,population,78066.0
E07000153,2002,population,83189.0
E07000154,2002,population,194448.0
E07000155,2002,population,81345.0
E07000156,2002,population,72975.0
E07000163,2002,population,53770.0
E07000164,2002,population,84844.0
E07000165,2002,population,151549.0
E07000166,2002,population,47798.0
E07000167,2002,population,50847.0
E07000168,2002,population,107246.0
E07000169,2002,population,77132.0
E07000170,2002,population,112488.0
E07000171,2002,population,108451.0
E07000172,2002,population,107832.0
E07000173,2002,population,111943.0
E07000174,2002,population,98367.0
E07000175,2002,population,106954.0
E07000176,2002,population,106546.0
E07000177,2002,population,132586.0
E07000178,2002,population,136625.0
E07000179,2002,population,128754.0
E07000180,2002,population,115565.0
E07000181,2002,population,95961.0
E07000187,2002,population,104634.0
E07000188,2002,population,107051.0
E07000189,2002,population,152165.0
E07000192,2002,population,93000.0
E07000193,2002,population,104487.0
E07000194,2002,population,93679.0
E07000195,2002,population,122165.0
E07000196,2002,population,106013.0
E07000197,2002,population,121409.0
E07000198,2002,population,94927.0
E07000199,2002,population,74519.0
E07000200,2002,population,84112.0
E07000202,2002,population,117818.0
E07000203,2002,population,87684.0
E07000207,2002,population,123784.0
E07000208,2002,population,67554.0
E07000209,2002,population,129297.0
E07000210,2002,population,80498.0
E07000211,2002,population,126272.0
E07000212,2002,population,77649.0
E07000213,2002,population,90292.0
E07000214,2002,population,80358.0
E07000215,2002,population,78906.0
E07000216,2002,population,115573.0
E07000217,2002,population,89289.0
E07000218,2002,population,61825.0
E07000219,2002,population,119625.0
E07000220,2002,population,88653.0
E07000221,2002,population,112258.0
E07000222,2002,population,128330.0
E07000223,2002,population,60050.0
E07000224,2002,population,142385.0
E07000225,2002,population,106990.0
E07000226,2002,population,99195.0
E07000227,2002,population,122694.0
E07000228,2002,population,127713.0
E07000229,2002,population,98236.0
E07000234,2002,population,89021.0
E07000235,2002,population,72655.0
E07000236,2002,population,79069.0
E07000237,2002,population,93446.0
E07000238,2002,population,113453.0
E07000239,2002,population,96830.0
E07000240,2002,population,130407.0
E07000241,2002,population,98136.0
E07000242,2002,population,130029.0
E07000243,2002,population,80110.0
E07000244,2002,population,228974.0
E07000245,2002,population,155991.0
E07000246,2002,population,139282.0
E08000001,2002,population,262367.0
E08000002,2002,population,181084.0
E08000003,2002,population,428221.0
E08000004,2002,population,218455.0
E08000005,2002,population,206697.0
E08000006,2002,population,216310.0
E08000007,2002,population,283502.0
E08000008,2002,population,213211.0
E08000009,2002,population,211062.0
E08000010,2002,population,302305.0
E08000011,2002,population,150506.0
E08000012,2002,population,443784.0
E08000013,2002,population,176295.0
E08000014,2002,population,280866.0
E08000015,2002,population,315050.0
E08000016,2002,population,218851.0
E08000017,2002,population,288647.0
E08000018,2002,population,249610.0
E08000019,2002,population,514201.0
E08000021,2002,population,267001.0
E08000022,2002,population,192739.0
E08000023,2002,population,152210.0
E08000024,2002,population,283037.0
E08000025,2002,population,990384.0
E08000026,2002,population,301295.0
E08000027,2002,population,305645.0
E08000028,2002,population,285637.0
E08000029,2002,population,200028.0
E08000030,2002,population,254287.0
E08000031,2002,population,239088.0
E08000032,2002,population,475184.0
E08000033,2002,population,193201.0
E08000034,2002,population,392118.0
E08000035,2002,population,716380.0
E08000036,2002,population,316306.0
E08000037,2002,population,191559.0
E09000001,2002,population,7280.0
E09000002,2002,population,166357.0
E09000003,2002,population,320552.0
E09000004,2002,population,219123.0
E09000005,2002,population,269871.0
E09000006,2002,population,296668.0
E09000007,2002,population,203972.0
E09000008,2002,population,335415.0
E09000009,2002,population,309242.0
E09000010,2002,population,280745.0
E09000011,2002,population,221476.0
E09000012,2002,population,210961.0
E09000013,2002,population,171989.0
E09000014,2002,population,224474.0
E09000015,2002,population,212336.0
E09000016,2002,population,225054.0
E09000017,2002,population,247063.0
E09000018,2002,population,216888.0
E09000019,2002,population,180118.0
E09000020,2002,population,163827.0
E09000021,2002,population,149642.0
E09000022,2002,population,273041.0
E09000023,2002,population,253662.0
E09000024,2002,population,190561.0
E09000025,2002,population,255282.0
E09000026,2002,population,244273.0
E09000027,2002,population,175441.0
E09000028,2002,population,256269.0
E09000029,2002,population,181265.0
E09000030,2002,population,207031.0
E09000031,2002,population,223776.0
E09000032,2002,population,274917.0
E09000033,2002,population,208100.0
N09000001,2002,population,129502.0
N09000002,2002,population,177357.0
N09000003,2002,population,328471.0
N09000004,2002,population,132827.0
N09000005,2002,population,144280.0
N09000006,2002,population,106663.0
N09000007,2002,population,124757.0
N09000008,2002,population,128281.0
N09000009,2002,population,120214.0
N09000010,2002,population,154984.0
N09000011,2002,population,150198.0
S12000005,2002,population,48140.0
S12000006,2002,population,147670.0
S12000008,2002,population,119920.0
S12000010,2002,population,91060.0
S12000011,2002,population,89930.0
S12000013,2002,population,26350.0
S12000014,2002,population,145920.0
S12000017,2002,population,209760.0
S12000018,2002,population,83730.0
S12000019,2002,population,80880.0
S12000020,2002,population,87690.0
S12000021,2002,population,135890.0
S12000023,2002,population,19330.0
S12000026,2002,population,107530.0
S12000027,2002,population,22000.0
S12000028,2002,population,111690.0
S12000029,2002,population,302770.0
S12000030,2002,population,86630.0
S12000033,2002,population,210680.0
S12000034,2002,population,228830.0
S12000035,2002,population,91020.0
S12000036,2002,population,447500.0
S12000038,2002,population,172300.0
S12000039,2002,population,93040.0
S12000040,2002,population,160370.0
S12000041,2002,population,108810.0
S12000042,2002,population,144370.0
S12000045,2002,population,107350.0
S12000047,2002,population,350740.0
S12000048,2002,population,135130.0
S12000049,2002,population,576450.0
S12000050,2002,population,322520.0
W06000001,2002,population,67879.0
W06000002,2002,population,117344.0
W06000003,2002,population,110624.0
W06000004,2002,population,93478.0
W06000005,2002,population,148947.0
W06000006,2002,population,128595.0
W06000008,2002,population,75500.0
W06000009,2002,population,114146.0
W06000010,2002,population,174628.0
W06000011,2002,population,224755.0
W06000012,2002,population,134931.0
W06000013,2002,population,129741.0
W06000014,2002,population,120279.0
W06000015,2002,population,312021.0
W06000016,2002,population,231795.0
W06000018,2002,population,170776.0
W06000019,2002,population,69452.0
W06000020,2002,population,90700.0
W06000021,2002,population,85417.0
W06000022,2002,population,138727.0
W06000023,2002,population,127145.0
W06000024,2002,population,55996.0
E06000001,2003,population,90134.0
E06000002,2003,population,139050.0
E06000003,2003,population,138565.0
E06000004,2003,population,185699.0
E06000005,2003,population,98911.0
E06000006,2003,population,119178.0
E06000007,2003,population,191987.0
E06000008,2003,population,140429.0
E06000009,2003,population,142658.0
E06000010,2003,population,250604.0
E06000011,2003,population,321869.0
E06000012,2003,population,158373.0
E06000013,2003,population,156196.0
E06000014,2003,population,183960.0
E06000015,2003,population,232827.0
E06000016,2003,population,288648.0
E06000017,2003,population,35559.0
E06000018,2003,population,275547.0
E06000019,2003,population,175648.0
E06000020,2003,population,159848.0
E06000021,2003,population,240031.0
E06000022,2003,population,170361.0
E06000023,2003,population,391454.0
E06000024,2003,population,191323.0
E06000025,2003,population,249176.0
E06000026,2003,population,243390.0
E06000027,2003,population,131238.0
E06000030,2003,population,184368.0
E06000031,2003,population,160778.0
E06000032,2003,population,185016.0
E06000033,2003,population,161437.0
E06000034,2003,population,145977.0
E06000035,2003,population,251159.0
E06000036,2003,population,109475.0
E06000037,2003,population,144297.0
E06000038,2003,population,144070.0
E06000039,2003,population,120869.0
E06000040,2003,population,134201.0
E06000041,2003,population,148794.0
E06000042,2003,population,217597.0
E06000043,2003,population,249846.0
E06000044,2003,population,190283.0
E06000045,2003,population,221989.0
